SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 16-Apr-2021, 36.05, 36.50, 36.70, 35.90, 36.00, 36.05, 36.19, 28824, 10.43, 397, 21721, 75.36
21STCENMGM, EQ, 16-Apr-2021, 12.45, 12.30, 12.30, 12.25, 12.25, 12.25, 12.25, 402, 0.05, 9, 388, 96.52
3IINFOTECH, EQ, 16-Apr-2021, 7.05, 7.00, 7.20, 6.90, 7.10, 7.05, 7.10, 7834657, 556.22, 6153, 5159760, 65.86
3MINDIA, EQ, 16-Apr-2021, 25532.50, 25762.25, 27201.00, 25653.00, 27010.05, 27032.25, 26729.81, 7549, 2017.83, 3858, 3445, 45.64
3PLAND, EQ, 16-Apr-2021, 9.80, 9.80, 9.95, 9.05, 9.85, 9.85, 9.55, 18492, 1.77, 150, 9445, 51.08
5PAISA, EQ, 16-Apr-2021, 350.40, 405.00, 417.00, 360.00, 370.00, 367.80, 394.15, 826346, 3257.01, 25957, 227200, 27.49
63MOONS, EQ, 16-Apr-2021, 96.00, 97.25, 112.50, 90.85, 99.90, 101.60, 104.25, 3113908, 3246.24, 42307, 621586, 19.96
716GS2050, GS, 16-Apr-2021, 110.00, 111.00, 111.00, 111.00, 111.00, 111.00, 111.00, 10, 0.01, 3, 10, 100.00
732GS2024, GS, 16-Apr-2021, 101.10, 101.10, 101.10, 101.10, 101.10, 101.10, 101.10, 100, 0.10, 1, 100, 100.00
762GS2039, GS, 16-Apr-2021, 115.00, 111.00, 111.00, 111.00, 111.00, 111.00, 111.00, 50, 0.06, 1, 50, 100.00
A2ZINFRA, EQ, 16-Apr-2021, 3.75, 3.70, 3.85, 3.70, 3.75, 3.75, 3.78, 662288, 25.03, 437, 473781, 71.54
AAKASH, BE, 16-Apr-2021, 134.00, 134.40, 134.40, 132.00, 133.90, 133.60, 132.80, 16391, 21.77, 72, -, -
AARON, EQ, 16-Apr-2021, 56.30, 55.25, 56.95, 54.60, 56.45, 55.60, 55.63, 517, 0.29, 31, 344, 66.54
AARTIDRUGS, EQ, 16-Apr-2021, 703.85, 704.15, 713.90, 699.05, 701.00, 701.85, 706.29, 282059, 1992.16, 10655, 86232, 30.57
AARTIIND, EQ, 16-Apr-2021, 1369.00, 1364.95, 1455.95, 1364.15, 1420.15, 1425.25, 1420.82, 556562, 7907.74, 23223, 143657, 25.81
