SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 24-Feb-2020, 34.45, 34.55, 34.80, 33.80, 34.00, 33.85, 34.15, 11210, 3.83, 199, 6791, 60.58
21STCENMGM, EQ, 24-Feb-2020, 12.85, 12.60, 12.60, 12.60, 12.60, 12.60, 12.60, 258, 0.03, 5, 258, 100.00
3IINFOTECH, EQ, 24-Feb-2020, 2.15, 2.15, 2.20, 2.10, 2.10, 2.15, 2.14, 1074100, 22.98, 748, 619460, 57.67
3MINDIA, EQ, 24-Feb-2020, 21683.40, 21744.00, 21744.25, 20902.00, 21200.00, 21287.50, 21261.81, 5741, 1220.64, 1950, 4465, 77.77
3PLAND, EQ, 24-Feb-2020, 5.15, 5.40, 5.40, 4.95, 4.95, 4.95, 5.01, 5272, 0.26, 29, 5051, 95.81
5PAISA, EQ, 24-Feb-2020, 184.75, 189.50, 189.50, 175.00, 177.00, 176.35, 179.68, 14916, 26.80, 421, 10460, 70.13
617GS2021, GS, 24-Feb-2020, 89.81, 90.00, 90.00, 89.80, 89.80, 89.80, 89.80, 83, 0.07, 9, 83, 100.00
63MOONS, EQ, 24-Feb-2020, 100.80, 100.00, 100.20, 97.10, 97.85, 97.35, 98.62, 111386, 109.85, 1728, 68607, 61.59
769GS2043, GS, 24-Feb-2020, 101.00, 101.00, 101.00, 101.00, 101.00, 101.00, 101.00, 100, 0.10, 1, 100, 100.00
8KMILES, BZ, 24-Feb-2020, 32.80, 34.40, 34.40, 33.00, 34.40, 34.40, 34.35, 112034, 38.48, 209, -, -
A2ZINFRA, EQ, 24-Feb-2020, 5.20, 5.20, 5.25, 4.45, 4.70, 4.65, 4.70, 732837, 34.43, 1075, 504977, 68.91
AAKASH, SM, 24-Feb-2020, 66.95, 67.70, 67.70, 67.70, 67.70, 67.70, 67.70, 4000, 2.71, 2, 4000, 100.00
AARON, SM, 24-Feb-2020, 50.50, 49.25, 49.25, 49.25, 49.25, 49.25, 49.25, 3300, 1.63, 1, 3300, 100.00
AARTIDRUGS, EQ, 24-Feb-2020, 673.20, 672.90, 690.00, 660.00, 676.00, 675.70, 679.99, 30650, 208.42, 2238, 18518, 60.42
AARTIIND, EQ, 24-Feb-2020, 1040.55, 1039.00, 1071.00, 1014.00, 1028.00, 1022.45, 1044.56, 270036, 2820.69, 17697, 109729, 40.63
AARVEEDEN, EQ, 24-Feb-2020, 13.30, 14.00, 14.00, 12.50, 13.50, 13.50, 13.44, 12472, 1.68, 153, 4358, 34.94
AARVI, SM, 24-Feb-2020, 22.05, 22.50, 23.15, 22.50, 23.15, 23.15, 22.83, 4000, 0.91, 2, 4000, 100.00
AAVAS, EQ, 24-Feb-2020, 1965.85, 1949.00, 1971.15, 1911.10, 1930.25, 1934.55, 1945.04, 39171, 761.89, 3253, 30133, 76.93
ABAN, EQ, 24-Feb-2020, 22.50, 22.65, 23.20, 22.10, 22.10, 22.30, 22.56, 31667, 7.14, 448, 19399, 61.26
ABB, EQ, 24-Feb-2020, 1230.90, 1225.00, 1225.00, 1190.00, 1192.00, 1191.95, 1201.45, 44916, 539.64, 4395, 30551, 68.02
ABBOTINDIA, EQ, 24-Feb-2020, 15527.65, 15799.00, 16279.90, 15400.00, 15885.00, 15943.90, 15895.07, 12236, 1944.92, 4602, 5886, 48.10
ABCAPITAL, EQ, 24-Feb-2020, 90.10, 89.00, 89.40, 86.50, 87.00, 87.05, 88.05, 956112, 841.82, 9309, 592906, 62.01
ABFRL, EQ, 24-Feb-2020, 278.25, 275.80, 285.50, 272.05, 279.80, 278.25, 281.24, 948980, 2668.91, 18374, 616182, 64.93
ABSLBANETF, EQ, 24-Feb-2020, 306.40, 304.70, 304.70, 304.60, 304.70, 304.70, 304.61, 16, 0.05, 3, 15, 93.75
ABSLNN50ET, EQ, 24-Feb-2020, 290.51, 287.68, 287.68, 287.68, 287.68, 287.68, 287.68, 2, 0.01, 2, 2, 100.00
ACC, EQ, 24-Feb-2020, 1423.45, 1419.90, 1438.00, 1401.00, 1409.00, 1407.20, 1421.06, 627609, 8918.69, 22015, 143210, 22.82
