SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 08-Oct-2020, 28.20, 28.75, 28.75, 27.90, 27.90, 27.95, 28.10, 19267, 5.41, 218, 12519, 64.98
21STCENMGM, EQ, 08-Oct-2020, 10.05, 10.25, 10.25, 9.85, 10.25, 10.10, 10.02, 2860, 0.29, 22, 1495, 52.27
3IINFOTECH, EQ, 08-Oct-2020, 3.50, 3.55, 3.55, 3.35, 3.40, 3.35, 3.41, 3993054, 136.19, 2207, 2129741, 53.34
3MINDIA, EQ, 08-Oct-2020, 18522.25, 18769.95, 19198.00, 18499.70, 18902.00, 18896.70, 18791.80, 3521, 661.66, 1841, 1764, 50.10
5PAISA, BE, 08-Oct-2020, 365.90, 369.45, 375.00, 347.65, 347.65, 351.20, 356.82, 16584, 59.17, 552, -, -
63MOONS, EQ, 08-Oct-2020, 76.20, 79.30, 83.60, 77.10, 78.00, 78.00, 80.13, 197011, 157.87, 2685, 106187, 53.90
716GS2050, GS, 08-Oct-2020, 111.55, 107.68, 111.55, 107.68, 111.55, 111.55, 109.62, 2, 0.00, 2, 2, 100.00
719GS2060, GS, 08-Oct-2020, 114.00, 109.00, 113.00, 109.00, 113.00, 109.40, 109.40, 10, 0.01, 2, 10, 100.00
772GS2049, GS, 08-Oct-2020, 118.00, 118.00, 118.00, 118.00, 118.00, 118.00, 118.00, 200, 0.24, 2, 200, 100.00
795GS2032, GS, 08-Oct-2020, 115.00, 115.00, 115.00, 115.00, 115.00, 115.00, 115.00, 1, 0.00, 1, 1, 100.00
813GS2045, GS, 08-Oct-2020, 118.80, 118.00, 118.00, 118.00, 118.00, 118.00, 118.00, 3000, 3.54, 1, 3000, 100.00
824GS2027, GS, 08-Oct-2020, 113.40, 107.75, 107.75, 107.75, 107.75, 107.75, 107.75, 1, 0.00, 1, 1, 100.00
8KMILES, BE, 08-Oct-2020, 69.50, 72.95, 72.95, 72.95, 72.95, 72.95, 72.95, 62151, 45.34, 105, -, -
A2ZINFRA, EQ, 08-Oct-2020, 4.15, 4.15, 4.15, 4.00, 4.10, 4.05, 4.05, 339250, 13.73, 160, 243613, 71.81
AAKASH, EQ, 08-Oct-2020, 52.40, 53.00, 53.00, 51.95, 52.05, 52.55, 52.35, 52911, 27.70, 351, 27401, 51.79
AARON, SM, 08-Oct-2020, 29.25, 29.00, 29.00, 29.00, 29.00, 29.00, 29.00, 6300, 1.83, 1, 6300, 100.00
AARTIDRUGS, EQ, 08-Oct-2020, 937.40, 930.00, 1026.95, 858.70, 1010.95, 1011.85, 976.27, 3027372, 29555.39, 134648, 491976, 16.25
AARTIIND, EQ, 08-Oct-2020, 1007.15, 1004.00, 1014.25, 1003.00, 1005.00, 1008.25, 1008.18, 105520, 1063.84, 6363, 48564, 46.02
AARTISURF, BE, 08-Oct-2020, 521.20, 528.95, 530.00, 510.10, 525.00, 521.10, 521.97, 31741, 165.68, 1304, -, -
AARVEEDEN, EQ, 08-Oct-2020, 10.85, 11.05, 11.10, 10.45, 11.00, 10.95, 10.83, 14330, 1.55, 46, 6494, 45.32
AARVI, EQ, 08-Oct-2020, 43.40, 43.95, 44.00, 40.60, 43.95, 43.95, 42.49, 1640, 0.70, 9, 150, 9.15
AAVAS, EQ, 08-Oct-2020, 1448.50, 1450.00, 1462.95, 1435.00, 1450.00, 1445.20, 1445.10, 49168, 710.53, 1883, 45272, 92.08
ABAN, EQ, 08-Oct-2020, 23.60, 23.50, 23.95, 23.15, 23.55, 23.45, 23.46, 34972, 8.20, 379, 25213, 72.09
ABB, EQ, 08-Oct-2020, 876.75, 878.95, 887.00, 860.00, 863.90, 864.95, 873.75, 79361, 693.42, 7700, 50722, 63.91
ABBOTINDIA, EQ, 08-Oct-2020, 16004.50, 16022.00, 16100.00, 15900.00, 16034.20, 16058.80, 16001.99, 5715, 914.51, 2231, 3411, 59.69
ABCAPITAL, EQ, 08-Oct-2020, 62.15, 62.05, 64.25, 62.05, 63.70, 63.60, 63.23, 2003572, 1266.93, 8285, 904783, 45.16
ABFRL, EQ, 08-Oct-2020, 131.95, 133.15, 133.30, 127.75, 128.95, 128.90, 130.84, 1235464, 1616.51, 7987, 772153, 62.50
ABFRLPP, E1, 08-Oct-2020, 73.15, 74.65, 74.65, 73.30, 73.30, 73.95, 73.99, 317255, 234.75, 710, 306067, 96.47
ABINFRA, SM, 08-Oct-2020, 9.00, 9.00, 9.00, 9.00, 9.00, 9.00, 9.00, 8000, 0.72, 2, 8000, 100.00
ABMINTLTD, BE, 08-Oct-2020, 18.60, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 204, 0.04, 5, -, -
ABSLBANETF, EQ, 08-Oct-2020, 223.50, 225.10, 245.00, 220.10, 223.80, 223.76, 227.75, 1901, 4.33, 66, 603, 31.72
ABSLNN50ET, EQ, 08-Oct-2020, 281.54, 283.00, 283.00, 272.60, 283.00, 281.55, 278.69, 174, 0.48, 8, 52, 29.89
ACC, EQ, 08-Oct-2020, 1481.75, 1482.20, 1523.65, 1468.45, 1519.95, 1517.90, 1495.52, 1599084, 23914.56, 53346, 450298, 28.16
ACCELYA, EQ, 08-Oct-2020, 1041.55, 1045.00, 1045.00, 1038.05, 1041.30, 1041.50, 1042.28, 13892, 144.79, 506, 7757, 55.84
ACCURACY, SM, 08-Oct-2020, 33.00, 34.20, 34.20, 34.20, 34.20, 34.20, 34.20, 1600, 0.55, 1, 1600, 100.00
ACE, EQ, 08-Oct-2020, 74.85, 74.90, 75.35, 70.65, 71.45, 71.40, 72.85, 244901, 178.42, 2632, 124701, 50.92
ADANIENT, EQ, 08-Oct-2020, 330.10, 329.00, 329.80, 310.50, 318.95, 316.25, 322.01, 4125999, 13286.01, 38669, 920735, 22.32
ADANIGAS, EQ, 08-Oct-2020, 196.00, 196.50, 196.80, 190.00, 190.40, 190.40, 192.28, 1140954, 2193.79, 13567, 490361, 42.98
