SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 21-Aug-2020, 31.75, 31.50, 32.95, 31.50, 31.85, 31.75, 31.94, 109589, 35.00, 590, 70592, 64.42
21STCENMGM, EQ, 21-Aug-2020, 10.40, 10.20, 10.60, 10.20, 10.45, 10.45, 10.39, 2083, 0.22, 33, 1503, 72.16
3IINFOTECH, EQ, 21-Aug-2020, 3.35, 3.50, 3.50, 3.50, 3.50, 3.50, 3.50, 537350, 18.81, 333, 537350, 100.00
3MINDIA, EQ, 21-Aug-2020, 20527.20, 20645.00, 20767.70, 20600.00, 20606.05, 20613.85, 20673.62, 3270, 676.03, 1218, 1846, 56.45
5PAISA, BE, 21-Aug-2020, 344.20, 346.20, 355.00, 338.00, 352.00, 352.05, 348.52, 8693, 30.30, 372, -, -
63MOONS, EQ, 21-Aug-2020, 81.70, 82.45, 84.90, 82.00, 83.10, 83.35, 83.75, 95092, 79.64, 1533, 50951, 53.58
706GS2046, GS, 21-Aug-2020, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100, 0.10, 1, 100, 100.00
719GS2060, GS, 21-Aug-2020, 112.65, 112.50, 115.00, 111.20, 115.00, 111.29, 111.95, 415, 0.46, 5, 400, 96.39
772GS2049, GS, 21-Aug-2020, 118.00, 118.00, 118.00, 118.00, 118.00, 118.00, 118.00, 100, 0.12, 1, 100, 100.00
A2ZINFRA, EQ, 21-Aug-2020, 4.40, 4.50, 4.60, 4.40, 4.60, 4.60, 4.56, 494549, 22.55, 428, 398158, 80.51
AARON, SM, 21-Aug-2020, 48.25, 50.10, 50.10, 50.10, 50.10, 50.10, 50.10, 3300, 1.65, 1, 3300, 100.00
AARTIDRUGS, EQ, 21-Aug-2020, 2848.85, 2979.95, 3133.70, 2930.00, 3133.70, 3133.70, 3066.51, 1546458, 47422.22, 116405, 341972, 22.11
AARTIIND, EQ, 21-Aug-2020, 1128.10, 1135.00, 1229.00, 1122.10, 1168.60, 1176.10, 1189.94, 2673350, 31811.32, 107924, 679992, 25.44
AARTISURF, BE, 21-Aug-2020, 440.40, 462.40, 462.40, 462.40, 462.40, 462.40, 462.40, 1627, 7.52, 50, -, -
AARVEEDEN, EQ, 21-Aug-2020, 11.35, 10.85, 11.90, 10.85, 11.80, 11.85, 11.63, 36526, 4.25, 190, 28997, 79.39
AARVI, EQ, 21-Aug-2020, 45.10, 45.10, 45.85, 43.50, 44.00, 44.45, 45.03, 6836, 3.08, 94, 5785, 84.63
AAVAS, EQ, 21-Aug-2020, 1376.05, 1388.90, 1465.00, 1383.50, 1433.00, 1442.95, 1445.35, 270841, 3914.60, 4567, 243493, 89.90
ABAN, EQ, 21-Aug-2020, 28.20, 28.90, 29.25, 28.35, 29.25, 29.10, 28.85, 120954, 34.89, 895, 82276, 68.02
ABB, EQ, 21-Aug-2020, 968.80, 977.00, 998.00, 975.00, 990.00, 982.85, 989.43, 306358, 3031.20, 10726, 98678, 32.21
ABBOTINDIA, EQ, 21-Aug-2020, 16867.90, 16930.00, 17064.00, 16774.30, 16819.00, 16840.25, 16940.59, 10502, 1779.10, 4270, 6380, 60.75
ABCAPITAL, EQ, 21-Aug-2020, 62.95, 63.50, 64.60, 62.50, 62.80, 62.80, 63.56, 2030858, 1290.81, 9702, 908404, 44.73
ABFRL, EQ, 21-Aug-2020, 142.90, 143.00, 154.90, 143.00, 146.10, 146.45, 150.00, 6088480, 9132.84, 44841, 1373865, 22.56
ABFRLPP, E1, 21-Aug-2020, 86.30, 86.30, 98.90, 85.80, 89.85, 89.65, 92.20, 286642, 264.30, 2471, 134914, 47.07
ABINFRA, SM, 21-Aug-2020, 9.20, 8.75, 9.65, 8.75, 9.65, 9.65, 9.44, 20000, 1.89, 4, 16000, 80.00
ABMINTLTD, BE, 21-Aug-2020, 22.35, 23.45, 23.45, 23.45, 23.45, 23.45, 23.45, 1077, 0.25, 6, -, -
ABSLBANETF, EQ, 21-Aug-2020, 216.41, 224.96, 224.97, 215.00, 215.00, 215.02, 219.34, 124, 0.27, 10, 82, 66.13
ABSLNN50ET, EQ, 21-Aug-2020, 298.20, 298.33, 323.00, 292.03, 295.60, 297.68, 310.17, 661, 2.05, 52, 464, 70.20
ABSLRIF6RG, MF, 21-Aug-2020, 6.11, 5.89, 6.31, 5.89, 6.31, 6.31, 6.20, 4000, 0.25, 4, 3000, 75.00
ACC, EQ, 21-Aug-2020, 1419.40, 1425.25, 1435.00, 1417.00, 1418.50, 1422.10, 1425.26, 404214, 5761.11, 14190, 69716, 17.25
ACCELYA, EQ, 21-Aug-2020, 1044.35, 1031.20, 1068.05, 1028.20, 1040.00, 1038.60, 1041.80, 35418, 368.99, 2009, 20302, 57.32
ACCORD, SM, 21-Aug-2020, 24.00, 24.80, 24.80, 24.80, 24.80, 24.80, 24.80, 4000, 0.99, 1, 4000, 100.00
ACE, EQ, 21-Aug-2020, 72.90, 73.85, 74.55, 70.50, 71.00, 70.85, 72.72, 492153, 357.90, 3429, 260830, 53.00
ADANIENT, EQ, 21-Aug-2020, 234.00, 237.10, 244.50, 231.10, 234.00, 233.35, 237.64, 5797329, 13776.84, 49170, 855084, 14.75
ADANIGAS, EQ, 21-Aug-2020, 167.75, 168.55, 171.00, 164.50, 165.45, 165.45, 168.56, 1965466, 3312.98, 12653, 893784, 45.47
ADANIGREEN, EQ, 21-Aug-2020, 375.40, 378.45, 384.40, 375.40, 376.50, 376.55, 379.30, 770438, 2922.25, 17311, 488336, 63.38
ADANIPORTS, EQ, 21-Aug-2020, 353.60, 357.90, 359.35, 353.00, 353.15, 354.35, 355.70, 1342269, 4774.50, 24559, 428889, 31.95
ADANIPOWER, EQ, 21-Aug-2020, 38.45, 38.80, 39.95, 38.40, 39.25, 39.15, 39.37, 11864048, 4671.14, 24249, 4107012, 34.62
ADANITRANS, EQ, 21-Aug-2020, 269.65, 277.00, 284.30, 270.00, 273.00, 272.10, 277.70, 1972459, 5477.59, 29992, 805310, 40.83
ADFFOODS, EQ, 21-Aug-2020, 367.15, 376.95, 376.95, 367.00, 368.80, 369.05, 371.46, 31102, 115.53, 1285, 19186, 61.69
ADHUNIKIND, EQ, 21-Aug-2020, 20.45, 21.00, 21.00, 19.85, 20.70, 20.20, 20.23, 65289, 13.21, 382, 47439, 72.66
ADORWELD, EQ, 21-Aug-2020, 274.15, 278.95, 278.95, 274.10, 275.20, 275.50, 275.94, 12539, 34.60, 504, 6704, 53.47
ADROITINFO, BE, 21-Aug-2020, 7.60, 7.25, 7.25, 7.25, 7.25, 7.25, 7.25, 623, 0.05, 4, -, -
ADSL, EQ, 21-Aug-2020, 22.95, 23.65, 23.85, 22.60, 23.00, 23.10, 23.20, 71152, 16.51, 387, 45279, 63.64
ADVANIHOTR, EQ, 21-Aug-2020, 46.85, 47.90, 47.90, 44.25, 45.90, 46.40, 46.64, 21041, 9.81, 474, 10466, 49.74
ADVENZYMES, EQ, 21-Aug-2020, 235.00, 236.45, 244.40, 234.30, 234.80, 235.45, 239.11, 688268, 1645.69, 9168, 219490, 31.89
AEGISCHEM, EQ, 21-Aug-2020, 191.40, 194.30, 196.70, 191.00, 191.85, 191.50, 193.37, 216616, 418.87, 5126, 90276, 41.68
AFFLE, EQ, 21-Aug-2020, 2104.75, 2120.00, 2315.20, 2120.00, 2315.20, 2315.20, 2293.65, 299408, 6867.36, 18628, 101138, 33.78
AGARIND, EQ, 21-Aug-2020, 111.90, 111.00, 115.95, 111.00, 113.75, 114.25, 113.12, 24139, 27.31, 239, 21969, 91.01
AGCNET, EQ, 21-Aug-2020, 385.30, 389.15, 400.00, 360.70, 395.00, 396.45, 393.02, 45620, 179.30, 1248, 29903, 65.55
AGRITECH, EQ, 21-Aug-2020, 32.75, 32.10, 34.35, 32.10, 34.35, 34.30, 33.73, 20746, 7.00, 156, 10613, 51.16
AGROPHOS, EQ, 21-Aug-2020, 10.80, 11.25, 11.25, 10.80, 11.10, 10.90, 10.97, 35024, 3.84, 141, 25974, 74.16
AHLADA, SM, 21-Aug-2020, 45.00, 43.00, 45.50, 42.15, 45.50, 45.15, 44.51, 24000, 10.68, 13, 23000, 95.83
AHLEAST, EQ, 21-Aug-2020, 151.65, 153.00, 155.10, 150.20, 153.50, 153.90, 153.88, 3831, 5.90, 119, 2520, 65.78
AHLUCONT, EQ, 21-Aug-2020, 253.75, 256.00, 256.80, 250.05, 251.65, 251.60, 252.67, 8388, 21.19, 485, 4745, 56.57
AHLWEST, EQ, 21-Aug-2020, 271.95, 283.00, 283.00, 266.50, 273.50, 272.05, 273.43, 2090, 5.71, 111, 998, 47.75
AIAENG, EQ, 21-Aug-2020, 1685.85, 1686.10, 1814.80, 1670.05, 1742.65, 1751.85, 1759.18, 127052, 2235.07, 13006, 36534, 28.76
AIONJSW, EQ, 21-Aug-2020, 18.05, 19.10, 19.85, 19.10, 19.40, 19.40, 19.65, 1799340, 353.65, 2154, 1328363, 73.83
AIRAN, EQ, 21-Aug-2020, 12.35, 12.45, 12.45, 12.10, 12.30, 12.30, 12.25, 215408, 26.39, 151, 202635, 94.07
AIROLAM, SM, 21-Aug-2020, 23.00, 22.00, 22.00, 21.50, 21.50, 21.50, 21.75, 6000, 1.31, 2, 6000, 100.00
AISL, SM, 21-Aug-2020, 21.50, 22.50, 22.55, 22.50, 22.55, 22.55, 22.53, 2400, 0.54, 2, 2400, 100.00
AJANTPHARM, EQ, 21-Aug-2020, 1623.90, 1639.95, 1647.00, 1612.15, 1622.00, 1622.25, 1625.53, 128956, 2096.22, 9518, 39361, 30.52
AJMERA, EQ, 21-Aug-2020, 94.40, 95.00, 96.00, 92.50, 93.25, 93.10, 94.65, 100798, 95.40, 1470, 56125, 55.68
AJOONI, SM, 21-Aug-2020, 31.95, 33.45, 33.50, 32.75, 33.05, 33.25, 33.37, 44000, 14.68, 11, 36000, 81.82
AKASH, BE, 21-Aug-2020, 203.60, 205.80, 211.00, 205.80, 210.00, 209.10, 208.77, 33180, 69.27, 168, -, -
AKSHARCHEM, EQ, 21-Aug-2020, 237.05, 238.25, 245.65, 234.65, 236.00, 236.80, 238.79, 110964, 264.97, 3298, 58482, 52.70
AKSHOPTFBR, EQ, 21-Aug-2020, 6.65, 6.95, 6.95, 6.95, 6.95, 6.95, 6.95, 138208, 9.61, 152, 138208, 100.00
AKZOINDIA, EQ, 21-Aug-2020, 2071.45, 2079.00, 2123.95, 2073.00, 2100.00, 2100.35, 2104.73, 14105, 296.87, 4971, 7624, 54.05
ALANKIT, EQ, 21-Aug-2020, 17.80, 18.90, 19.55, 18.40, 18.65, 18.70, 19.05, 2006059, 382.23, 7832, 903679, 45.05
ALBERTDAVD, EQ, 21-Aug-2020, 488.90, 492.00, 521.15, 492.00, 508.00, 509.95, 510.87, 163081, 833.13, 7487, 62744, 38.47
ALCHEM, EQ, 21-Aug-2020, 5.65, 5.65, 5.90, 5.65, 5.90, 5.90, 5.89, 33077, 1.95, 100, 32041, 96.87
ALEMBICLTD, EQ, 21-Aug-2020, 82.40, 83.15, 85.60, 82.75, 83.80, 83.60, 84.35, 924915, 780.20, 6859, 348743, 37.71
ALICON, EQ, 21-Aug-2020, 364.50, 369.95, 374.95, 350.10, 350.25, 355.05, 362.12, 6045, 21.89, 401, 3585, 59.31
ALKALI, EQ, 21-Aug-2020, 50.70, 51.85, 53.55, 49.35, 52.00, 51.75, 51.71, 56524, 29.23, 702, 29934, 52.96
ALKEM, EQ, 21-Aug-2020, 2862.55, 2874.70, 2888.70, 2826.00, 2837.95, 2844.30, 2848.92, 303759, 8653.86, 29572, 193254, 63.62
ALKYLAMINE, EQ, 21-Aug-2020, 2856.90, 2890.00, 3275.00, 2870.00, 3259.00, 3200.20, 3085.35, 189521, 5847.38, 19857, 65066, 34.33
ALLCARGO, EQ, 21-Aug-2020, 105.80, 107.00, 110.00, 106.45, 108.50, 107.70, 108.15, 516815, 558.94, 4200, 328274, 63.52
ALLSEC, EQ, 21-Aug-2020, 282.00, 290.00, 290.00, 282.00, 285.00, 284.75, 284.49, 5851, 16.65, 183, 5259, 89.88
ALMONDZ, EQ, 21-Aug-2020, 10.10, 10.10, 10.55, 10.00, 10.25, 10.25, 10.36, 8288, 0.86, 62, 7497, 90.46
ALOKINDS, EQ, 21-Aug-2020, 34.15, 34.85, 34.90, 32.45, 32.60, 32.50, 33.32, 18912382, 6302.24, 43547, 10505961, 55.55
ALPA, EQ, 21-Aug-2020, 28.25, 29.00, 29.65, 28.95, 29.65, 29.65, 29.50, 136916, 40.39, 701, 109282, 79.82
ALPHAGEO, EQ, 21-Aug-2020, 170.30, 170.00, 179.00, 170.00, 179.00, 176.60, 174.90, 75178, 131.49, 1225, 39923, 53.10
ALPSINDUS, EQ, 21-Aug-2020, 1.15, 1.20, 1.20, 1.10, 1.20, 1.20, 1.17, 16729, 0.20, 40, 12929, 77.28
AMARAJABAT, EQ, 21-Aug-2020, 742.35, 746.50, 751.40, 735.35, 740.05, 740.60, 740.72, 753677, 5582.66, 19423, 201931, 26.79
AMBANIORG, SM, 21-Aug-2020, 53.40, 57.00, 57.00, 57.00, 57.00, 57.00, 57.00, 2000, 1.14, 1, 2000, 100.00
AMBER, EQ, 21-Aug-2020, 1776.40, 1800.00, 1809.95, 1762.00, 1770.05, 1769.95, 1780.75, 66312, 1180.85, 8116, 22665, 34.18
AMBIKCO, EQ, 21-Aug-2020, 673.95, 679.90, 679.90, 664.75, 675.00, 673.95, 673.91, 34088, 229.72, 862, 24618, 72.22
AMBUJACEM, EQ, 21-Aug-2020, 225.35, 226.60, 228.70, 224.40, 226.65, 225.95, 226.53, 1700350, 3851.78, 22986, 468544, 27.56
AMDIND, EQ, 21-Aug-2020, 17.75, 18.55, 19.50, 17.85, 18.70, 18.55, 18.61, 67052, 12.48, 288, 39880, 59.48
AMJLAND, EQ, 21-Aug-2020, 18.70, 19.30, 20.95, 18.65, 19.60, 19.85, 19.70, 334923, 65.99, 463, 72103, 21.53
AMJUMBO, SM, 21-Aug-2020, 7.30, 6.95, 7.50, 6.95, 7.50, 7.50, 7.23, 16000, 1.16, 2, 8000, 50.00
AMRUTANJAN, EQ, 21-Aug-2020, 474.40, 480.00, 489.95, 475.05, 478.85, 477.25, 482.70, 233006, 1124.73, 6787, 54327, 23.32
ANANTRAJ, EQ, 21-Aug-2020, 28.80, 29.15, 29.95, 28.50, 29.00, 28.90, 29.29, 417322, 122.21, 1309, 265195, 63.55
ANDHRACEMT, EQ, 21-Aug-2020, 5.35, 5.50, 5.55, 5.30, 5.50, 5.45, 5.44, 413065, 22.47, 685, 294798, 71.37
ANDHRAPAP, EQ, 21-Aug-2020, 226.30, 230.00, 232.90, 225.15, 226.80, 226.55, 228.72, 174938, 400.12, 3419, 42738, 24.43
ANDHRSUGAR, EQ, 21-Aug-2020, 328.45, 330.30, 337.00, 328.40, 330.80, 330.95, 332.97, 116686, 388.53, 3274, 46846, 40.15
ANIKINDS, EQ, 21-Aug-2020, 14.25, 14.85, 14.95, 13.70, 13.95, 13.95, 14.07, 25415, 3.58, 107, 21692, 85.35
ANKITMETAL, EQ, 21-Aug-2020, 0.75, 0.75, 0.80, 0.70, 0.80, 0.80, 0.75, 77300, 0.58, 53, 74710, 96.65
ANSALAPI, EQ, 21-Aug-2020, 4.40, 4.30, 4.55, 4.30, 4.40, 4.45, 4.47, 66567, 2.97, 193, 57294, 86.07
ANSALHSG, EQ, 21-Aug-2020, 4.80, 5.00, 5.00, 4.85, 5.00, 5.00, 4.98, 123903, 6.17, 232, 106426, 85.89
ANUP, EQ, 21-Aug-2020, 537.05, 541.25, 548.00, 525.00, 525.00, 529.70, 537.45, 12551, 67.45, 775, 9126, 72.71
APARINDS, EQ, 21-Aug-2020, 323.15, 327.95, 354.90, 324.20, 351.50, 347.65, 342.83, 280822, 962.75, 9200, 131950, 46.99
APCL, EQ, 21-Aug-2020, 157.70, 163.95, 163.95, 158.10, 159.00, 159.05, 160.21, 25444, 40.77, 722, 12861, 50.55
APCOTEXIND, EQ, 21-Aug-2020, 173.25, 179.90, 179.90, 162.25, 164.30, 163.80, 168.79, 955452, 1612.73, 16665, 392652, 41.10
APEX, EQ, 21-Aug-2020, 275.80, 277.80, 286.80, 276.35, 279.10, 280.10, 283.01, 824500, 2333.45, 12277, 223069, 27.06
APLAPOLLO, EQ, 21-Aug-2020, 2267.60, 2290.00, 2424.45, 2250.20, 2329.90, 2331.45, 2349.67, 112928, 2653.44, 10466, 38317, 33.93
APLLTD, EQ, 21-Aug-2020, 981.30, 992.10, 1020.00, 992.10, 1001.90, 999.40, 1006.48, 579746, 5835.02, 24460, 346807, 59.82
APOLLO, EQ, 21-Aug-2020, 127.30, 129.70, 129.70, 125.40, 126.05, 126.70, 127.75, 108230, 138.27, 2403, 66071, 61.05
APOLLOHOSP, EQ, 21-Aug-2020, 1693.20, 1715.00, 1749.00, 1665.65, 1683.70, 1677.50, 1716.10, 1091794, 18736.24, 42483, 185497, 16.99
APOLLOPIPE, EQ, 21-Aug-2020, 412.40, 415.00, 443.55, 412.40, 431.00, 432.65, 434.53, 67307, 292.47, 4686, 31216, 46.38
APOLLOTYRE, EQ, 21-Aug-2020, 128.75, 130.00, 132.90, 129.50, 132.00, 131.25, 131.44, 9354350, 12295.47, 44010, 2839839, 30.36
